date,location_name,proxy_hosp_continuous
1997-10-04,US,1427.1431035
1997-10-11,US,1725.8474740000001
1997-10-18,US,1526.7112270000002
1997-10-25,US,1095.2493585000002
1997-11-01,US,1626.2793505000002
1997-11-08,US,1759.0368485
1997-11-15,US,2323.256215
1997-11-22,US,2953.8543305000003
1997-11-29,US,3053.4224540000005
1997-12-06,US,2854.286207
1997-12-13,US,3285.7480755
1997-12-20,US,4414.186808500001
1997-12-27,US,7036.147394
1998-01-03,US,8297.343625
1998-01-10,US,8065.0180035
1998-01-17,US,8264.154250500002
1998-01-24,US,10819.736087000001
1998-01-31,US,11483.523577
1998-02-07,US,11251.1979555
1998-02-14,US,8695.616119
1998-02-21,US,6870.2005215
1998-02-28,US,4480.5655575
1998-03-07,US,2290.0668404999997
1998-03-14,US,2456.0137130000003
1998-03-21,US,896.1131115000001
1998-03-28,US,531.029992
1998-04-04,US,0.0
1998-04-11,US,0.0
1998-04-18,US,0.0
1998-04-25,US,0.0
1998-05-02,US,0.0
1998-05-09,US,0.0
1998-05-16,US,0.0
1998-05-23,US,0.0
1998-05-30,US,0.0
1998-06-06,US,0.0
1998-06-13,US,0.0
1998-06-20,US,0.0
1998-06-27,US,0.0
1998-07-04,US,0.0
1998-07-11,US,0.0
1998-07-18,US,0.0
1998-07-25,US,0.0
1998-08-01,US,0.0
1998-08-08,US,0.0
1998-08-15,US,0.0
1998-08-22,US,0.0
1998-08-29,US,0.0
1998-09-05,US,0.0
1998-09-12,US,0.0
1998-09-19,US,0.0
1998-09-26,US,0.0
1998-10-03,US,0.0
1998-10-10,US,0.0
1998-10-17,US,0.0
1998-10-24,US,199.136247
1998-10-31,US,1062.059984
1998-11-07,US,597.408741
1998-11-14,US,564.2193665000001
1998-11-21,US,1062.059984
1998-11-28,US,2323.256215
1998-12-05,US,1095.2493585000002
1998-12-12,US,1194.817482
1998-12-19,US,1228.0068565000001
1998-12-26,US,2456.0137130000003
1999-01-02,US,3451.6949480000003
1999-01-09,US,3418.5055735
1999-01-16,US,5575.814916
1999-01-23,US,8131.3967525
1999-01-30,US,9027.509864000001
1999-02-06,US,11914.9854455
1999-02-13,US,11715.849198499998
1999-02-20,US,10952.493585
1999-02-27,US,9425.782358
1999-03-06,US,8894.752366
1999-03-13,US,6571.496151
1999-03-20,US,5144.3530475
1999-03-27,US,4115.482438
1999-04-03,US,2057.741219
1999-04-10,US,99.5681235
1999-04-17,US,0.0
1999-04-24,US,0.0
1999-05-01,US,0.0
1999-05-08,US,0.0
1999-05-15,US,0.0
1999-05-22,US,0.0
1999-05-29,US,0.0
1999-06-05,US,0.0
1999-06-12,US,0.0
1999-06-19,US,0.0
1999-06-26,US,0.0
1999-07-03,US,0.0
1999-07-10,US,0.0
1999-07-17,US,0.0
1999-07-24,US,0.0
1999-07-31,US,0.0
1999-08-07,US,0.0
1999-08-14,US,0.0
1999-08-21,US,0.0
1999-08-28,US,0.0
1999-09-04,US,0.0
1999-09-11,US,0.0
1999-09-18,US,0.0
1999-09-25,US,0.0
1999-10-02,US,0.0
1999-10-09,US,464.651243
1999-10-16,US,796.544988
